datetime,36L44RW,36L71RW,36Q109RW,36Q153RW,36Q166RW,36Q69RW,36Q86RW,36Q88RW,36R83RW,68RW,69RW,78RW,81RW,84RW,85RW,86RW,87RW
2018-07-20 14:29:44,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0
2018-07-20 14:34:44,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0
2018-07-20 14:39:44,0,0,0,0,0,0,0,0,25.56,17.04,0,10.16,0,0,0,0,0
2018-07-20 14:44:44,0,0,0,8.9,0,0,6.34,1.1,40.68,26.81,0,25.68,0,4.37,0,0,3.33
2018-07-20 14:49:44,0,0,0,23.46,7.75,0,20.22,13.02,67.61,37.57,0,50.64,0,12.84,0,0,4.53
2018-07-20 14:54:44,114.04,32.75,48.48,192.68,132.51,32.8,137.53,25.97,328.57,155.59,135.42,300.98,106.21,113.55,4.3,15.18,11.21
2018-07-20 14:59:44,0,0,0,17.21,0,0,9.9,0,23.42,18.05,0,21,0,4.84,0,0,2.9
2018-07-20 15:04:44,0,0,0,0,0,0,0,0,14.11,10.11,0,5.17,0,0,0,0,0.55
2018-07-20 15:09:44,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0
2018-07-20 15:14:44,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0
2018-07-20 15:19:44,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0
