Raster,Node,Inundated Area,Final Depth,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage
cell1570,36L71RW,400.0,0.0240075,0.0,0.0,0.0,190.81439423292852,0.0,2269.1027815956627,2459.917175828591
cell2602,68RW,1900.0,0.04194157894736842,0.0,10806.406650748138,0.0,656.2685918862895,0.0,4596.405537765713,16059.080780400142
cell3062,36L44RW,1200.0,0.02877,0.0,5018.782375393688,0.0,0.0,0.0,4513.394947382055,9532.177322775744
cell3420,69RW,1300.0,0.031264615384615384,0.0,0.0,0.0,97.38268483136484,0.0,12361.315664704494,12458.69834953586
cell3526,81RW,800.0,0.0397275,0.0,0.0,0.0,0.0,0.0,9116.890069614572,9116.890069614572
cell4121,36Q109RW,300.0,0.04852000000000001,0.0,1164.8166737112426,0.0,0.0,0.0,2392.02294230844,3556.8396160196826
cell4578,36Q88RW,400.0,0.030060000000000003,0.0,0.0,0.0,0.0,0.0,4578.954567449529,4578.954567449529
cell4580,36Q86RW,1200.0,0.043655,0.0,1323.2577187328575,0.0,0.0,0.0,12751.907420327623,14075.16513906048
cell5169,36R83RW,3500.0,0.04585799999999999,0.0,1272.8488149487728,0.0,0.0,25708.99102433451,12972.15377113901,39953.993610422294
cell5232,84RW,1200.0,0.0339875,0.0,1756.7281110972635,0.0,435.52243353366816,0.0,0.0,2192.2505446309315
cell5470,85RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5627,36Q69RW,200.0,0.04917,0.0,0.0,0.0,0.0,105.40127838723835,2402.573924359993,2507.9752027472314
cell5820,87RW,400.0,0.017092500000000004,0.0,0.0,0.0,0.0,0.0,2845.1140083399873,2845.1140083399873
cell6059,36Q153RW,2200.0,0.03311318181818182,0.0,10881.323649586862,0.0,561.1310969670775,0.0,4683.206313665036,16125.661060218976
cell6427,78RW,2500.0,0.049767600000000016,0.0,10610.977785010222,0.0,0.0,0.0,18646.540460036227,29257.51824504645
cell6868,36Q166RW,1300.0,0.0324,0.0,0.0,0.0,220.38431389783995,0.0,11868.163583493664,12088.547897391503
